CD_MUN,NM_MUN,VALOR,ANO,VARIAVEL
1302801,Maraã,0.04306737651012229,1999,CH4
1302900,Maués,0.6073560259458085,1999,CH4
1303007,Nhamundá,0.02046205513254384,1999,CH4
1303106,Nova Olinda do Norte,0.2692267267424919,1999,CH4
1303205,Novo Airão,0.03123160691699541,1999,CH4
1303304,Novo Aripuanã,0.06272507544835995,1999,CH4
1303403,Parintins,0.01482739543638337,1999,CH4
1303502,Pauini,0.02699738522870561,1999,CH4
1303536,Presidente Figueiredo,0.02832137406910477,1999,CH4
1303569,Rio Preto da Eva,0.02170309407266268,1999,CH4
1303601,Santa Isabel do Rio Negro,0.05359388937213599,1999,CH4
1303700,Santo Antônio do Içá,0.03002178285087796,1999,CH4
1303809,São Gabriel da Cachoeira,0.04739155110184552,1999,CH4
1303908,São Paulo de Olivença,0.04044629480404283,1999,CH4
1303957,São Sebastião do Uatumã,0.02091460261059375,1999,CH4
1304005,Silves,0.01613544770107996,1999,CH4
1304062,Tabatinga,0.04160986268885,1999,CH4
1304104,Tapauá,0.02678158194256541,1999,CH4
1304203,Tefé,0.03324460270644961,1999,CH4
1304237,Tonantins,0.02766924664076377,1999,CH4
1304260,Uarini,0.0455003224684841,1999,CH4
1304302,Urucará,0.04653250720883527,1999,CH4
1304401,Urucurituba,0.01217485732537738,1999,CH4
1400027,Amajari,0.005706282529556932,1999,CH4
1400050,Alto Alegre,0.01463120388276435,1999,CH4
1400100,Boa Vista,0.04507163785725649,1999,CH4
1400159,Bonfim,0.05694802419078847,1999,CH4
1400175,Cantá,0.0435366691407911,1999,CH4
1400209,Caracaraí,0.04805139338027016,1999,CH4
1400233,Caroebe,0.01898517434604963,1999,CH4
1400282,Iracema,0.02910046998913905,1999,CH4
1400308,Mucajaí,0.03063843022772524,1999,CH4
1400407,Normandia,0.03945146587674955,1999,CH4
1400456,Pacaraima,0.009531826416750369,1999,CH4
1400472,Rorainópolis,0.06942092900834013,1999,CH4
1400506,São João da Baliza,0.05086008601475649,1999,CH4
1400605,São Luiz,0.0975819261189837,1999,CH4
1400704,Uiramutã,0.02257290750932061,1999,CH4
1500107,Abaetetuba,0.4231966437158773,1999,CH4
1500131,Abel Figueiredo,0.03241704577980541,1999,CH4
1500206,Acará,0.1217541214135478,1999,CH4
1500305,Afuá,0.01053624523865517,1999,CH4
1500347,Água Azul do Norte,0.2412266691841499,1999,CH4
1500404,Alenquer,0.02475105314072059,1999,CH4
1500503,Almeirim,0.07468284388887099,1999,CH4
1500602,Altamira,0.7464769807962204,1999,CH4
1500701,Anajás,0.2495085989589088,1999,CH4
1500800,Ananindeua,0.1791391830617218,1999,CH4
1500859,Anapu,0.4283696881785407,1999,CH4
1500909,Augusto Corrêa,0.02911074374373604,1999,CH4
1500958,Aurora do Pará,0.0309694567246412,1999,CH4
1501006,Aveiro,1.745923557554347,1999,CH4
1501105,Bagre,0.04871625123605513,1999,CH4
1501204,Baião,2.053636334998872,1999,CH4
1501253,Bannach,0.1757361951900563,1999,CH4
1501303,Barcarena,0.2038072097222174,1999,CH4
1501402,Belém,0.1785164478041748,1999,CH4
1501451,Belterra,1.853347062786047,1999,CH4
1501501,Benevides,0.1693989298967316,1999,CH4
1501576,Bom Jesus do Tocantins,0.9036761919216418,1999,CH4
1501600,Bonito,0.03369239989270842,1999,CH4
1501709,Bragança,0.03527030100476587,1999,CH4
1501725,Brasil Novo,0.7323990070854101,1999,CH4
1501758,Brejo Grande do Araguaia,0.0392305813993766,1999,CH4
1501782,Breu Branco,3.623463739951008,1999,CH4
1501808,Breves,0.02858327590509388,1999,CH4
1501907,Bujaru,0.1631696411756068,1999,CH4
1501956,Cachoeira do Piriá,0.3740340990678737,1999,CH4
1502004,Cachoeira do Arari,0.1359410336749651,1999,CH4
1502103,Cametá,2.716017612527081,1999,CH4
1502152,Canaã dos Carajás,0.2412236789407309,1999,CH4
1502202,Capanema,0.03136665394378674,1999,CH4
1502301,Capitão Poço,0.03626550723920983,1999,CH4
1502400,Castanhal,0.05626231840701453,1999,CH4
1502509,Chaves,0.3760422814073001,1999,CH4
1502608,Colares,0.1252093970183108,1999,CH4
1502707,Conceição do Araguaia,2.56243558361232,1999,CH4
1502756,Concórdia do Pará,0.06073339614565618,1999,CH4
1502764,Cumaru do Norte,0.08503736445511109,1999,CH4
1502772,Curionópolis,2.756168387853415,1999,CH4
1502806,Curralinho,0.2390711852975125,1999,CH4
1502855,Curuá,0.01579229816552043,1999,CH4
1502905,Curuçá,0.01854914294732549,1999,CH4
1502939,Dom Eliseu,0.05627096235981761,1999,CH4
1502954,Eldorado do Carajás,3.217297407803316,1999,CH4
1503002,Faro,0.02397858898624965,1999,CH4
1503044,Floresta do Araguaia,3.439564029540719,1999,CH4
1503077,Garrafão do Norte,0.0342306525254207,1999,CH4
1503093,Goianésia do Pará,3.231403506008995,1999,CH4
1503101,Gurupá,0.009453088101129964,1999,CH4
1503200,Igarapé-Açu,0.01494428400634116,1999,CH4
1503309,Igarapé-Miri,0.9501272430382461,1999,CH4
1503408,Inhangapi,0.1033028445987509,1999,CH4
1503457,Ipixuna do Pará,0.6514173853044539,1999,CH4
1503507,Irituia,0.03567657094267942,1999,CH4
1503606,Itaituba,2.115012331093045,1999,CH4
1503705,Itupiranga,1.614150627262894,1999,CH4
1503754,Jacareacanga,0.5866655497085638,1999,CH4
1503804,Jacundá,4.017125093768199,1999,CH4
1503903,Juruti,0.01620061784069252,1999,CH4
1504000,Limoeiro do Ajuru,2.422939018648962,1999,CH4
1504059,Mãe do Rio,0.04163567121934345,1999,CH4
