CD_MUN,NM_MUN,VALOR,ANO,VARIAVEL
1302405,LABREA,224.1856966221371,1999,CO2
1302504,MANACAPURU,354.7893612236073,1999,CO2
1302553,MANAQUIRI,301.1950675385423,1999,CO2
1302603,MANAUS,272.3898509732351,1999,CO2
1302702,MANICORE,219.3675506823217,1999,CO2
1302801,MARAA,472.3720342520395,1999,CO2
1302900,MAUES,281.5772172681882,1999,CO2
1303007,NHAMUNDA,224.4320822638026,1999,CO2
1303106,NOVA OLINDA DO NORTE,193.6919648978145,1999,CO2
1303205,NOVO AIRAO,342.5548754976924,1999,CO2
1303304,NOVO ARIPUANA,185.9277561472232,1999,CO2
1303403,PARINTINS,162.6299571814836,1999,CO2
1303502,PAUINI,296.1131629362148,1999,CO2
1303536,PRESIDENTE FIGUEIREDO,310.6347642500168,1999,CO2
1303569,RIO PRETO DA EVA,238.0440219500512,1999,CO2
1303601,SANTA ISABEL DO RIO NEGRO,587.8291324390524,1999,CO2
1303700,SANTO ANTONIO DO ICA,329.2853167912784,1999,CO2
1303809,SAO GABRIEL DA CACHOEIRA,519.8008027929174,1999,CO2
1303908,SAO PAULO DE OLIVENCA,443.6234328233339,1999,CO2
1303957,SAO SEBASTIAO DO UATUMA,229.3957780769438,1999,CO2
1304005,SILVES,176.977028103812,1999,CO2
1304062,TABATINGA,456.3849769399565,1999,CO2
1304104,TAPAUA,293.7460829612021,1999,CO2
1304203,TEFE,364.6337999361926,1999,CO2
1304237,TONANTINS,303.482249648444,1999,CO2
1304260,UARINI,499.0574155991578,1999,CO2
1304302,URUCARA,510.3785191724228,1999,CO2
1304401,URUCURITUBA,133.536527907879,1999,CO2
1400027,AMAJARI,62.5877064163764,1999,CO2
1400050,ALTO ALEGRE,160.4782232238699,1999,CO2
1400100,BOA VISTA,494.3194726416618,1999,CO2
1400159,BONFIM,624.588819589146,1999,CO2
1400175,CANTA,477.5196963127547,1999,CO2
1400209,CARACARAI,527.0378137774105,1999,CO2
1400233,CAROEBE,208.2333058562693,1999,CO2
1400282,IRACEMA,319.1801358395826,1999,CO2
1400308,MUCAJAI,336.0489697884633,1999,CO2
1400407,NORMANDIA,427.3737483289379,1999,CO2
1400456,PACARAIMA,104.2941507701284,1999,CO2
1400472,RORAINOPOLIS,761.4235332941604,1999,CO2
1400506,SAO JOAO DA BALIZA,557.8445766547593,1999,CO2
1400605,SAO LUIZ,1070.299544506322,1999,CO2
1400704,UIRAMUTA,245.717756472188,1999,CO2
1500107,ABAETETUBA,2094.071339403466,1999,CO2
1500131,ABEL FIGUEIREDO,355.5571733047253,1999,CO2
1500206,ACARA,1335.4271813755,1999,CO2
1500305,AFUA,115.5637952417003,1999,CO2
1500347,AGUA AZUL DO NORTE,1336.881646582091,1999,CO2
1500404,ALENQUER,271.4748434010249,1999,CO2
1500503,ALMEIRIM,819.1370444270453,1999,CO2
1500602,ALTAMIRA,1953.63380022507,1999,CO2
1500701,ANAJAS,357.5876754464918,1999,CO2
1500800,ANANINDEUA,1964.836006227016,1999,CO2
1500859,ANAPU,258.9037994885034,1999,CO2
1500909,AUGUSTO CORREA,319.2928172498413,1999,CO2
1500958,AURORA DO PARA,339.6796110271325,1999,CO2
1501006,AVEIRO,526.4213521681256,1999,CO2
1501105,BAGRE,460.9486778276022,1999,CO2
1501204,BAIAO,1053.76032549418,1999,CO2
1501253,BANNACH,1922.65967229316,1999,CO2
1501303,BARCARENA,2199.555226986263,1999,CO2
1501402,BELEM,1958.005406027189,1999,CO2
1501451,BELTERRA,554.6353504303731,1999,CO2
1501501,BENEVIDES,1858.00271844619,1999,CO2
1501576,BOM JESUS DO TOCANTINS,538.7940877550311,1999,CO2
1501600,BONITO,369.5454080794677,1999,CO2
1501709,BRAGANCA,386.852092882253,1999,CO2
1501725,BRASIL NOVO,1548.980352555413,1999,CO2
1501758,BREJO GRANDE DO ARAGUAIA,430.2893629810698,1999,CO2
1501782,BREU BRANCO,1555.709811636636,1999,CO2
1501808,BREVES,266.4234984592077,1999,CO2
1501907,BUJARU,1789.679606159118,1999,CO2
1501956,CACHOEIRA DO PIRIA,338.5546544525675,1999,CO2
1502004,CACHOEIRA DO ARARI,656.6113024068344,1999,CO2
1502103,CAMETA,980.4304229986623,1999,CO2
1502152,CANAA DOS CARAJAS,743.8957152062849,1999,CO2
1502202,CAPANEMA,344.0361223291894,1999,CO2
1502301,CAPITAO POCO,397.7676673380847,1999,CO2
1502400,CASTANHAL,617.0963259861738,1999,CO2
1502509,CHAVES,420.2164102093085,1999,CO2
1502608,COLARES,1373.321126614883,1999,CO2
1502707,CONCEICAO DO ARAGUAIA,877.5360358610308,1999,CO2
1502756,CONCORDIA DO PARA,666.1368830558387,1999,CO2
1502764,CUMARU DO NORTE,932.7081208739113,1999,CO2
1502772,CURIONOPOLIS,836.9825197252337,1999,CO2
1502806,CURRALINHO,516.7518890387814,1999,CO2
1502855,CURUA,173.2135458506841,1999,CO2
1502905,CURUCA,203.4509167229904,1999,CO2
1502939,DOM ELISEU,338.381871928394,1999,CO2
1502954,ELDORADO DOS CARAJAS,956.7331276302273,1999,CO2
1503002,FARO,263.0021833490606,1999,CO2
1503044,FLORESTA DO ARAGUAIA,991.006331338844,1999,CO2
1503077,GARRAFAO DO NORTE,375.4489839397492,1999,CO2
1503093,GOIANESIA DO PARA,1060.926802051325,1999,CO2
1503101,GURUPA,103.6835257432318,1999,CO2
1503200,IGARAPE0ACU,163.9121772682485,1999,CO2
1503309,IGARAPE0MIRI,1821.234265492177,1999,CO2
1503408,INHANGAPI,1133.046561424424,1999,CO2
1503457,IPIXUNA DO PARA,358.9128606367361,1999,CO2
1503507,IRITUIA,391.3080801550364,1999,CO2
1503606,ITAITUBA,760.0990813143338,1999,CO2
1503705,ITUPIRANGA,1425.215200793233,1999,CO2
1503754,JACAREACANGA,686.4859946403674,1999,CO2
1503804,JACUNDA,1222.839671644629,1999,CO2
1503903,JURUTI,177.6918085130598,1999,CO2
1504000,LIMOEIRO DO AJURU,803.045414631887,1999,CO2
1504059,MAE DO RIO,456.6687146114004,1999,CO2
1504109,MAGALHAES BARATA,159.4222746516083,1999,CO2
1504208,MARABA,1010.26082867662,1999,CO2
